0.3.0,0.4.2,0.5-dev,1
,,,blueprints_2013_03:head
,,,blueprints_2013_03:id
,,,blueprints_2013_03:label
,,,blueprints_2013_03:tail
(stack_2007_05:I),(stack_2007_08:I),(stack_2008_08:apply),control_2013_03:apply
(stack_2007_05:ary),(stack_2007_08:ary),(stack_2008_08:ary),control_2013_03:ary
(stack_2007_05:branch),(stack_2007_08:branch),(logic_2008_08:branch),control_2013_03:branch
(stack_2007_05:choice),(stack_2007_08:choice),(logic_2008_08:choice),control_2013_03:choice
(stack_2007_05:dip),(stack_2007_08:dip),(stack_2008_08:dip),control_2013_03:dip
(stack_2007_05:dipd),(stack_2007_08:dipd),(stack_2008_08:dipd),control_2013_03:dipd
(stack_2007_05:fold),(stack_2007_08:fold),(stack_2008_08:fold),control_2013_03:fold
(stack_2007_05:ifte),(stack_2007_08:ifte),(logic_2008_08:ifte),control_2013_03:ifte
,,(etc_2008_08:invert),control_2013_03:inverse
,,(stack_2008_08:map),control_2013_03:map
,,,control_2013_03:option-apply
,,,control_2013_03:plus-apply
,,,control_2013_03:range-apply
,,(stream_2008_08:require),control_2013_03:require
,,,control_2013_03:star-apply
,,,control_2013_03:times-apply
,,(logic_2008_08:while),control_2013_03:while
(graph_2007_05:compare),(graph_2007_08:compare),(graph_2008_08:compare),data_2013_03:compare
(graph_2007_05:equal),(graph_2007_08:equal),(graph_2008_08:equal),data_2013_03:equal
(math_2007_05:gt),(math_2007_08:gt),(math_2008_08:gt),data_2013_03:gt
,,,data_2013_03:gte
(math_2007_05:lt),(math_2007_08:lt),(math_2008_08:lt),data_2013_03:lt
,,,data_2013_03:lte
(graph_2007_05:toDouble),(graph_2007_08:toDouble),(graph_2008_08:toDouble),data_2013_03:to-double
(graph_2007_05:toInteger),(graph_2007_08:toInteger),(graph_2008_08:toInteger),data_2013_03:to-integer
,,(etc_2008_08:dateTimeToMillis),data_2013_03:to-millis
(graph_2007_05:toString),(graph_2007_08:toString),(graph_2008_08:toString),data_2013_03:to-string
,(graph_2007_08:toUri),(graph_2008_08:toUri),data_2013_03:to-uri
etc_2007_05:back,etc_2007_08:back,,
,,etc_2008_08:dateTimeToMillis,(graph_2013_03:to-millis)
etc_2007_05:get,etc_2007_08:get,etc_2008_08:get,(system_2013_03:get)
,,etc_2008_08:invert,(control_2013_03:inverse)
etc_2007_05:pingTheSemanticWeb,(services_2007_08:pingTheSemanticWeb),(services_2008_08:pingTheSemanticWeb),
etc_2007_05:pred,etc_2007_08:pred,,
etc_2007_05:prim,etc_2007_08:prim,,
etc_2007_05:rand,,,
etc_2007_05:sha1,(string_2007_08:sha1),(string_2008_08:sha1),(string_2013_03:sha1)
etc_2007_05:strCat,(string_2007_08:strCat),(string_2008_08:concat),(string_2013_03:concat)
etc_2007_05:swoogleIt,(services_2007_08:swoogleIt),(services_2008_08:swoogleIt),
,(math_2007_08:random),(math_2008_08:random),(system_2013_03:random)
,,etc_2008_08:system,(system_2013_03:system)
etc_2007_05:time,etc_2007_08:time,etc_2008_08:time,(system_2013_03:time)
etc_2007_05:urlEncoding,(string_2007_08:percentEncode),(string_2008_08:percentEncode),(string_2013_03:percent-encoded)
